Instance,SSE,BH
p5,22608.0525,19.1808
p6,9032.0174,14.3895
p7,5909.6131,13.7758
p8,507819.2825,57.7234
p9,204377.0943,44.8632
p10,126178.3286,40.8478
p11,72012.6093,35.5201
p12,66000,36.2132
p15,66000,36.2132
p18,66000,36.2132
p21,66000,36.2132
pr1,8978.8337,22.3295
pr2,19976.3934,23.514
pr3,37030.2322,27.6872
pr4,45058.224,25.8871
pr5,51922.8926,24.3438
pr6,59092.8433,24.1722
pr7,6813.3102,19.907
pr8,17707.6104,24.1589
pr9,22830.7385,21.5521
pr10,39393.2489,24.6387
p1,2114.2321,12.1031
p2,2114.2321,12.1031
p3,2378.6494,11.4524
p4,21118.0363,18.78
p5,22231.7576,19.4201
p6,11435.6625,16.1812
p7,5354.0151,13.3648
p8,504955.1004,58.0247
p9,222920.8668,45.8564
p10,103410.4168,37.7062
p11,64509.5472,33.0544
p12,66000,36.2132
p15,66000,36.2132
p18,66000,36.2132
p21,66000,36.2132
pr1,8640.8347,23.7036
pr2,22488.9136,24.5601
pr3,35201.8973,27.5224
pr4,44471.9763,26.5864
pr5,42513.8757,26.7425
pr6,57783.8316,24.0454
pr7,5929.9667,19.3068
pr8,15326.77,23.0515
pr9,22294.3322,21.8919
pr10,42363.1122,26.4406
p1,2105.8573,12.0263
p2,2105.8573,12.0263
p3,2176.7482,10.854
p4,23407.5385,19.4927
p5,22200.447,18.4353
p6,8842.3624,14.7646
p7,4488.3779,12.6995
p8,483187.6299,57.5121
p9,203294.6564,45.0422
p10,132584.3702,40.9195
p11,59471.4214,33.5947
p12,45047.6089,29.5644
p15,46397.2203,29.7228
p18,46089.0114,29.4694
p21,46148.9293,29.268
pr1,7474.7512,21.499
pr2,31084.4106,30.4148
pr3,38970.3513,28.2288
pr4,45741.1352,25.2327
pr5,66681.2315,27.329
pr6,70265.8316,27.0392
pr7,8184.8507,20.8222
pr8,18841.064,24.0195
pr9,22404.1453,21.2924
pr10,60128.9343,29.7635
